['信息']	2026年度南京大学优秀本科毕业论文（设计） 评选结果公示	2026-07-23 00:00:00	https://jw.nju.edu.cn/d1/7c/c26263a840060/page.htm
['信息']	2026年度国家自然科学基金青年学生基础研究项目（本科生）学校拟推荐项目公示	2026-07-21 00:00:00	https://jw.nju.edu.cn/d1/09/c26263a839945/page.htm
['信息']	关于开展第五届教育部“提问与猜想”活动申报推荐工作的通知	2026-07-17 00:00:00	https://jw.nju.edu.cn/cf/24/c26263a839460/page.htm
['信息']	暑期新增通识课选课通知	2026-07-16 00:00:00	https://jw.nju.edu.cn/ce/b6/c26263a839350/page.htm
['信息']	"奔赴计划—""退役新能源器件中含碳组分热转化与催化提质""项目招募通知"	2026-07-13 00:00:00	https://jw.nju.edu.cn/cd/c6/c26263a839110/page.htm
['考试']	【学生】20252学期期末缓考申请通过名单公示（第四批）	2026-07-13 00:00:00	https://jw.nju.edu.cn/cd/8a/c26263a839050/page.htm
['信息']	南京大学2026-2027学年第一学期本科生课程表	2026-07-10 00:00:00	https://jw.nju.edu.cn/cd/51/c26263a838993/page.htm
['信息']	成绩更正审核结果公示（2026-07-09）	2026-07-09 00:00:00	https://jw.nju.edu.cn/cc/d4/c26263a838868/page.htm
['信息']	本科生院2026年暑假值班表	2026-07-08 00:00:00	https://jw.nju.edu.cn/cc/5d/c26263a838749/page.htm
['信息']	成绩更正审核结果公示（2026-07-06）	2026-07-06 00:00:00	https://jw.nju.edu.cn/cb/ce/c26263a838606/page.htm
['考试']	【学生】20252学期期末缓考申请通过名单公示（第三批）	2026-07-06 00:00:00	https://jw.nju.edu.cn/cb/9c/c26263a838556/page.htm
['信息']	【转发】关于暑假期间公共教室开放情况的通知	2026-07-03 00:00:00	https://jw.nju.edu.cn/ca/e3/c26263a838371/page.htm
['信息']	【跨学院准入】南京大学2026年度跨大类（学院）专业准入录取名单公示	2026-07-03 00:00:00	https://jw.nju.edu.cn/ca/af/c26263a838319/page.htm
['信息']	【分流】南京大学2025级普通全日制大类本科生学科、专业准入名单公示	2026-07-03 00:00:00	https://jw.nju.edu.cn/ca/b5/c26263a838325/page.htm
['信息']	关于公示2026年度南京大学本科生“奔赴计划”研修项目立项名单的通知	2026-06-29 00:00:00	https://jw.nju.edu.cn/c9/cc/c26263a838092/page.htm
['信息']	关于组织申报 2026 长三角研究型大学联盟联合汽车电子 USP 创新训练营的通知	2026-06-27 00:00:00	https://jw.nju.edu.cn/c8/16/c26263a837654/page.htm
['信息']	第一批微专业数智资源建设项目公示	2026-06-26 00:00:00	https://jw.nju.edu.cn/c7/bb/c26263a837563/page.htm
['信息']	关于公布2026年数学建模竞赛培训名单的通知	2026-06-26 00:00:00	https://jw.nju.edu.cn/c7/ac/c26263a837548/page.htm
['信息']	成绩更正审核结果公示（2026-06-25）	2026-06-25 00:00:00	https://jw.nju.edu.cn/c7/7b/c26263a837499/page.htm
['考试']	【学生】20252学期期末缓考申请通过名单公示（第一批）	2026-06-24 00:00:00	https://jw.nju.edu.cn/c6/67/c26263a837223/page.htm
['信息', '毕业']	关于评选2026年度南京大学优秀本科毕业论文（设计）的通知	2026-06-18 00:00:00	https://jw.nju.edu.cn/c3/70/c26263a836464/page.htm
['信息']	2026年南京大学“本科实验教学质量提升计划”入选项目名单公示	2026-06-18 00:00:00	https://jw.nju.edu.cn/c3/da/c26263a836570/page.htm
['毕业']	南京大学2026年本科生毕业典礼暨学位授予仪式座位安排及仪式须知	2026-06-17 00:00:00	https://xgb.nju.edu.cn/c3/28/c62106a836392/page.htm
['信息']	成绩更正审核结果公示（2026-06-16）	2026-06-16 00:00:00	https://jw.nju.edu.cn/c2/48/c26263a836168/page.htm
['信息']	仙林校区通宵自习教室开放通知	2026-06-16 00:00:00	https://jw.nju.edu.cn/3d/7c/c26263a802172/page.htm
['信息']	期末复习备考心理健康小贴士	2026-06-12 00:00:00	https://jw.nju.edu.cn/c1/0d/c26263a835853/page.htm
['信息']	关于公示2026年度南京大学“智慧本科教育工程”系列项目立项名单的通知	2026-06-12 00:00:00	https://jw.nju.edu.cn/c1/04/c26263a835844/page.htm
['信息']	【学生】本科期末教学重要事项通知 （2025-2026学年第二学期）	2026-06-12 00:00:00	https://jw.nju.edu.cn/c1/09/c26263a835849/page.htm
['考试']	【学生】全国大学英语四、六级考试考前温馨提示	2026-06-12 00:00:00	https://jw.nju.edu.cn/c1/2a/c26263a835882/page.htm
['信息']	2026年暑期学校和秋季学期本科课程选课通知	2026-06-12 00:00:00	https://jw.nju.edu.cn/c1/29/c26263a835881/page.htm
['信息']	2025-2026学年第二学期期末考试温馨提示	2026-06-12 00:00:00	https://jw.nju.edu.cn/c1/0c/c26263a835852/page.htm
['信息']	6月13日考试封闭、清理教室的通知	2026-06-08 00:00:00	https://jw.nju.edu.cn/bd/f3/c26263a835059/page.htm
['信息']	【转发】关于《毛泽东思想和中国特色社会主义理论体系概论》 《习近平新时代中国特色社会主义思想概论》 实践教学的要求与说明	2026-06-05 00:00:00	https://jw.nju.edu.cn/bd/82/c26263a834946/page.htm
['考试']	【学生】全国大学英语四、六级考试准考证打印通知	2026-06-05 00:00:00	https://jw.nju.edu.cn/bd/9d/c26263a834973/page.htm
['信息']	关于开展2026年度本科生学科竞赛等级认定和经费预算申报工作的通知	2026-06-04 00:00:00	https://jw.nju.edu.cn/bc/dc/c26263a834780/page.htm
['信息,毕业']	关于2026届普通全日制本科毕业生申请学士学位的通知	2026-06-04 00:00:00	https://jw.nju.edu.cn/bd/07/c26263a834823/page.htm
['信息']	第二届南京大学“歆·恺杯”数学竞赛获奖名单公示	2026-06-03 00:00:00	https://jw.nju.edu.cn/bc/77/c26263a834679/page.htm
['毕业']	2026届本科生毕业论文（设计）上传和装订指南	2026-06-03 00:00:00	https://jw.nju.edu.cn/87/ce/c26263a690126/page.htm
['信息']	南京大学关于2026年度江苏高校品牌专业建设工程二期项目验收的公示	2026-06-02 00:00:00	https://jw.nju.edu.cn/bc/8f/c26263a834703/page.htm
['信息']	关于组织2026年数学建模竞赛培训的通知	2026-05-29 00:00:00	https://jw.nju.edu.cn/ba/9a/c26263a834202/page.htm
['信息']	2026年“高教社杯”大学生“用外语讲好中国故事”优秀短视频作品征集活动南京大学校赛获奖通知	2026-05-29 00:00:00	https://jw.nju.edu.cn/ba/9e/c26263a834206/page.htm
['考试']	【学生】关于6月份全国大学英语四六级考试耳机试音及修理的通知	2026-05-22 00:00:00	https://jw.nju.edu.cn/b7/d4/c26263a833492/page.htm
